"	""	comments"""
"704	""704	I saw a green object above Seattle&#44 at about 5:45 AM on 10/1&#44 occuring at the time of a northern lights display."""
"705	""705	STREK OF LIGHT ACROSS THE SKY"""
"706	""706	Large fireball sighting"""
"707	""707	I was taking my Boyfriend to work in yelm and as we entered onto koeppen rd and traveling north towards yelm We noticed to our left abo"""
"708	""708	Very intense orange-yellow light moves from south to north in early A.M. and late P.M."""
"709	""709	Westmoreland &amp"
"710	""710	nys thruway heading nrth between exit 19 and 20 cigar shaped &#44reflective or silver in color &#44 incredable fast no sound ."""
"711	""711	me and boyfriend out on the back deck drinking coffee and we see a cigar shaped craft flying overhead....it struck me as odd because it"""
"712	""712	a look-through aircraft a la &#39predator&#39"""
"713	""713	Silent average-looking airplane hovers over Leupp exit butte on I-40 for 15-30 mins&#44 hundreds of witnesses."""
"714	""714	high polished chrome-teardrop shaped object hovering over a busy North Idaho Hi-way in mid afternoon"""
"715	""715	In October 2002&#44 I was driving east on Interestate 40 (close to mile marker 100)&#44  when I saw a greenish &quot"
"716	""716	big shooting star"""
"717	""717	unusual shaped and transparent color crafts appear and one follow the other in new direction"""
"718	""718	Egg Shaped Object Circling"""
"719	""719	Patrolling fighter jet followed by bright green light &#33"""
"720	""720	I was driving from San Leandro to San Ramon took 580 to Crow Canyon Rd. I was stunned by a hovering shape in the sky.It was hard to mak"""
"721	""721	three objects in perfect triangle fomation flying at extremely high altitudes"""
"722	""722	Red and blue flashing lights&#44 low to the ground&#44 behind my car on a deserted road in Riverton&#44 Utah."""
"723	""723	3 flying objects that changed shapes show up in midtown manhattan"""
"724	""724	My wife and I watched a stationary bright white star much larger than a planet hover above the Ocean for about 2 minutes&#44 and then it d"""
"725	""725	Blue-White orb shoots across sky rapidly&#44 then disappears&#44 on an unusally clear&#44 calm night."""
"726	""726	GARGATUAN EXLPOSION IN THE SKY EMITS BRILLIANT BLINDING LIGHT AND EARTHQUAKE LIKE TREMORS"""
"727	""727	UFO watching the harbor of long beach."""
"728	""728	saucer positioned between line of sight and sun."""
"729	""729	an object appeared to get larger then smaller till it disappeared"""
"730	""730	us and  the object"""
"731	""731	Star seen in Seattle moves east then quickly fades away&#44 no meteor trail."""
"732	""732	Orange balls in the sky"""
"733	""733	UFO that was silent and very large in Northeastern Oklahoma"""
"734	""734	Clear light zig zags through night sky on clear evening"""
"735	""735	HBCCUFO CANADIAN REPORT:  The witness said the object was a brilliant red in color."""
"736	""736	HBCCUFO CANADIAN REPORT:  A glowing white ball dropped from the sky."""
"737	""737	Bright orange lights go on&#44 and off in Circlville&#44 OH."""
"738	""738	Orange light cruises Humboldt Bay"""
"739	""739	((HOAX??))  Short encounter with space craft on my way into my parking lot area."""
"740	""740	lights"""
"741	""741	Two triangular shaped craft with white and red lights going Northeast."""
"742	""742	Tucson Mysterious Streaks of Light"""
"743	""743	Posibly crashing hexagon shaped object with very bright green lights at it&#39s points.One of the points seemed to emit another greenlight"""
"744	""744	Fireball burned me  ((NUFORC Note:  May not be a serious report.  PD))"""
"745	""745	stars that fly"""
"746	""746	Very bright&#44 circular object in evening sky"""
"747	""747	strange. dozens saw it . happens all the time"""
"748	""748	The waves of lights seemed to materialize high in the sky and move in an &quot"
"749	""749	At approximitly 0:00 I spotted three red circular lights in the western skies over Oak Forest&#44 IL.  The three large red light seemed mo"""
"750	""750	I saw the three red lights in the sky over Oak Forest Illinois. They flashed like beacons. This happened around 12:30am"""
"751	""751	3 red lights hovering in the northeast sky"""
"752	""752	3 red lights over Tinley Park"""
"753	""753	3 pulsing red lights in triangular formation over Midlothian &amp"
"754	""754	Red lights in sky over Orland Park&#44 Illinois"""
"755	""755	Red lights over Orland Park"""
"756	""756	Red lights&#44 southland Chicago"""
"757	""757	3 red lights altered formations and each indiviadual light disappeared at different times"""
"758	""758	That night after closing my garage door I glanced as I normally do towards the North Star..to my amazement just west of the North star"""
"759	""759	3 Red Lights slowly flew over South Suburbs of Chicago at 1am 1Oct05&#44 then disappeared one at a time."""
"760	""760	Three red blinking dots in the sky that hoovered unlike an airplane that I know of."""
"761	""761	3 red lights in Tinley Park sky"""
"762	""762	Three Red Lights Over Tinley Park"""
"763	""763	I saw 3 red flashing/blinking  lights in sky 1:00am 10-1-05 over Tinley Park IL"""
"764	""764	saw three red glowing lights in the sky above&#44 in Tinley park Il."""
"765	""765	red dots seen in sky formed triangle"""
"766	""766	Two red lights sitting in the sky&#44 but I couldn&#39t not make out an object."""
"767	""767	RED LIGHTS SEEN IN ALSIP ILLINOIS"""
"768	""768	3 small lights formed a triangle then straight line&#44 took a digital picture&#44 zoomed in a saw 3 lights inside each individual"""
"769	""769	V-shaped object seen in sky of Cuyahoga Falls&#44 Ohio"""
"770	""770	Initially observed a white dot in the northwestern sky which prompted me to obtain my binoculars to obtain a closer look. I then observ"""
"771	""771	Tinley Park Lights Are Back&#33&#33&#33"""
"772	""772	There were 3 red lights&#44 sometimes they were in a trianlge and than in straight line. they went away one by on. After 1:00 am"""
"773	""773	3 red lights over chicagoland area"""
"774	""774	it lasted for about one minute"""
"775	""775	3 Red lights in triangle formation moving slowly and silently"""
"776	""776	This has happened more than once&#33 We saw a orange circle of light moving slowly through the sky&#44 shooting about two inches to the human"""
"777	""777	its the same spot where my brother said he saw sumtin up in tha sky a few years earlier...."""
"778	""778	Two blue pinpoints of light merge onto one silver disk."""
"779	""779	LARGE SPHERE SHAPPED OBJECT SIGHTED HOVERING WEST OF LAKE WORTH"""
"780	""780	A huge&#44 metallic-silver colored&#44  oval object  was observed over the Estrella Mountains during the day."""
"781	""781	4 UFOs in a big arrowlike formation at high altitude over downtown part of Los Angeles"""
"782	""782	I&#39ve seen the black teardrop/sphere/baloon too...."""
"783	""783	orange triangular shape that turned on and off two times"""
"784	""784	Triangular UFO hovered with Stench"""
"785	""785	seven objects sighted with one apparantly landing"""
"786	""786	One star shaped object&#44 another V shaped object blending in with the nighttime clouds"""
"787	""787	2 bright lights simutaneously travelling north - Hamilton Ontario Canada -"""
"788	""788	Dim Flapping Object in Napa Sky October 1st"""
"789	""789	Very slow moving object that made no sound."""
"790	""790	I WAS LEAVING EL RENO&#44OKLAHOMA&#44APPROXIMATELY 40 MILES WEST OF OKC ABOUT 9PM. TRAVELING NORTH ON HWY 81 I NOTICED A VERY BRIGHT STAR-LIK"""
"791	""791	3 satellite looking objects moving close together"""
"792	""792	Lights over Traverse Bay 35min moving than fixed position"""
"793	""793	Six lights in a strange formation surrounded by two long rectagular objects"""
"794	""794	Seen over the Tinley Park&#44 IL. area. Three red lights hovering in the sky. Changed from red to green and back again."""
"795	""795	small Smooth moving orange glowing oval"""
"796	""796	From inside my home I witnessed an oval shaped green light travel low and slow from my window. It was completely silent."""
"797	""797	Bright green object in the sky"""
"798	""798	As we was driving down Shady Grove heading west we saw a bright blue light steaking across the sky&#44 dipping in and out of the clouds be"""
"799	""799	A sighting that was out of the ordinary&#44 but not extraordinary."""
"800	""800	I SAW THE SAME THING  IN 2006"""
"801	""801	matte black glider type craft&#44 no lights&#44 no sound"""
"802	""802	A ball of white light hovered in the afternoon sky&#44 vanishing and reappearing 3 times&#44 before finally vanishing for good."""
"803	""803	My dad wanted me to tell you that in October of 2006 he was putting up christmas lights and my brother was with him and my dad looked u"""
"804	""804	MISSOURI INVESTIGATORS GROUP Report:  I saw glowing green lights in the sky at night and 5 objects in the sky during sunset.."""
"805	""805	This all started earier in the day&#44 as I fired some small arms&#44 I noticed a sound of thunder then a sonic boom then the sounds of a jet"""
"806	""806	6 people saw 2 objects in the sky that had lights and were flying in zig-zag patterns in the sky while staying in the same area."""
"807	""807	i would not be entering this&#44 but reading a report from obrien&#44 ore. on oct 1&#44 changed my mind... this summer has been full of surprise"""
"808	""808	Saw Disc about 40 ft from me&#44 helicopters came and picked it up."""
"809	""809	7-10 objects&#44 Multicolored Lights&#44 No Noise&#44 Oval Shaped"""
"810	""810	Three Fireballs in the Las Vegas sky flying in formation then becoming one fireball. ((NUFORC Note:  Possible advertising lights?  PD))"""
"811	""811	White quickly moving light swept across our backyard."""
"812	""812	yellow/orange fireball leaving debris trail"""
"813	""813	Sun 10/01/2006 8:19 pm PST Metiorite descending slowly and decellerating. Left a trail of green and yellow sparks. At N80&#176"
"814	""814	Bright blue explosion followed by blue shooting object over Pullman&#44 WA"""
"815	""815	Very large yellow teardrop-shaped disk or meteor dropping several or many miles East of Seattle&#44 Washington - watched for 12-14 seconds"""
"816	""816	Spotted again as before........"""
"817	""817	SEVERAL OBJECTS VERY HIGH IN THE SKY  AT NIGHT&#44 GLOWING RED&#44 AND JOINING IN PATTERNS."""
"818	""818	A VERY bright and transluscent light that seemed to glow more than create a shape hovered above Lake Washington (so it seemed) in the W"""
"819	""819	15-20 round balls of light moving in formation"""
"820	""820	Four tightly packed objects glowing green moving at 150 mph 1/4 mile away spread out  equally spaced within 2 seconds."""
"821	""821	Several bright lights headed slowly towards horizon"""
"822	""822	Giant meteor sails over Saguaro Lake  Senta Scarborough and JJ Hensley The Arizona Republic Oct. 2&#44 2006 10:48 AM  Residents who saw a"""
"823	""823	dividing fireball multi-colored"""
"824	""824	There appeared to be about six very very bright glowing white ball shaped objects."""
"825	""825	Large&#44 meteor-type light seen near Santa Fe&#44 NM."""
"826	""826	UFO over Silver City&#44 New Mexico at very low altitude."""
"827	""827	This event happened on the Navajo Reservation.  The object flew close to the ground.  It changed colors (blue&#44 green&#44 and yellow)while"""
"828	""828	October 1&#44 2006 meteor reported across skies of Arizona&#44 New Mexico&#44 and Colorado"""
"829	""829	Large bright light with aura&#44 &quot"
"830	""830	White fireball on huge object flying horizonally before changing colors&#44 emitting orange balls of light and evaporating"""
"831	""831	Large bright white light with evenly spaced smaller lights in trail east of Denver moving northeast&#44 as seen by airline pilot at FL380"""
"832	""832	Globular formation of 5-7 bright ball lights seen first and last as &quot"
"833	""833	Six orange lights observed in the sky by three people&#44 moving at constant speed and altitude from south to north."""
"834	""834	Several glowing objects gracefully and silently following each other moving south to north in eastern sky 500 to 1000ft  high"""
"835	""835	Four silent lights flew over our home."""
"836	""836	Strange Lights in the Sky  Over Colorado   October 1&#44 2006"""
"837	""837	about 23:15   sunday&#44 10/1/06--a slow-moving horizontal strip of white light that shown into my room and then truned blue and moved off"""
"838	""838	segmented flashing formation w/ &quot"
"839	""839	I was standing on my deck facing east when I saw orange objects fly from north to south. They appeared to maybe be comets but I cannot"""
"840	""840	4 very large bright spherical objects -- one green&#44 the others red or orange -- moving at high speeds upward in linear series"""
"841	""841	Fireball object in Western Sky"""
"842	""842	6 LIGHTS FLOATING OVER DEBEQUE CANYON"""
"843	""843	7 bright lights over northeast new mexico"""
"844	""844	Seven Bright Lights in New Mexico Skies"""
"845	""845	5 bright&#44 totally silent&#44 fast moving lights  viewed in night sky near Deckers&#44 CO on 10/01."""
"846	""846	I saw about six lights coming toward our house in a straight line&#44 and one at a time from the furthest away&#44 they went out."""
"847	""847	Four bright star-like objects&#44 observed from Monument&#44 CO&#44 2317 hrs&#44 10/1/06&#44 traveling SW-NE at high rate of speed&#44 no sound&#44 <10 sec."""
"848	""848	4-5 bright whitish-orange lights in Pueblo West&#44 Colorado on 10/1/06 at 11:30 p.m."""
"849	""849	a bright lights traveling very fast with a green tail that exploded into four lights&#33"""
"850	""850	ON SUNDAY 10 01 06 MY WIFE AND I WERE DRIVING HOME FROM WHITE RUIDOSO NEW MEXICO. APPROXIMATLEY AT 11:20 PM I NOTICED OFF TO MY LEFT BO"""
"851	""851	Thought it was a satellite moving across the sky until it went straight out of the sky till we could not see it anymore."""
"852	""852	Me and my friend were facing north-west a few minutes after midnight and saw two or maybe four objects flashing bright red and white. T"""
"853	""853	UFO seen in Dayton&#44 Ohio near Huber Heights"""
"854	""854	the ufos went over my house  500 Lights On Object0: Yes"""
"855	""855	Dancing &amp"
"856	""856	3 fast blinking&#44 multicolored lights that lasted for over two hours and moved only over long durations of time to the naked eye."""
"857	""857	4 DOTS OF LIGHT AROUND MOON  MID MORNING TODAY"""
"858	""858	Seen shiny aluminum colored craft @ Yeager Lake in Litchfield"""
"859	""859	Hovering bright white light turns horizontally mid-air and becomes silvery dome-shaped object"""
"860	""860	Green Glowing Triangular Craft"""
"861	""861	Lights flickering in the sky."""
"862	""862	I was driving with my family and we looked up and seen a ufo almost directly above us."""
"863	""863	Strange lights in NC sky."""
"864	""864	Loud Roar&#44 Bright Orange Lights"""
"865	""865	Moving star over eastern New York"""
"866	""866	Black Triangle shaped craft with 3lights on the bottom. (fast&#44smooth flying craft)"""
"867	""867	Ball of light moving fast across the the sky"""
"868	""868	Massive/low/silent black triangle cruises back and forth over downtown Conway"""
"869	""869	A huge &quot"
"870	""870	It was cylinder shaped and had lights all around it. 500 Lights On Object0: Yes"""
"871	""871	Large metalic object hovering 30-50ft off the ground&#44short beam coming down to ground."""
"872	""872	cylinder shaped object with no lights or sound with plane following behind it"""
"873	""873	I was walking my dog this morning when I saw a very bright orange light approaching from the south."""
"874	""874	I reported this same object last week &#44so far three times i have seen this blinking object which moves horizontially and does tight cir"""
"875	""875	UFO I THINK"""
"876	""876	Very high&#44 cigar shaped UFO moving at incredible speeds."""
"877	""877	Myself and two of my friends were driving down the road to pick up my girlfriend when my friend in the passenger seat noticed two unide"""
"878	""878	Silver egg shape over six houses.  ((NUFORC Note:  Possible hoax??  PD))"""
"879	""879	Lighted disk stops overhead"""
"880	""880	hi&#44 last night on oct 1&#44 2008 i saw 2 star sized objects that went extremely fast in the night sky in so.calif.(cabazon) at about 8:00p"""
"881	""881	Stationary object just above NE horizon with flashing red&#44 green and white lights."""
"882	""882	2 unidentified objects above highway 2 in marysville washington"""
"883	""883	very strange&#44 unexplainable sound"""
"884	""884	Star shaped light blinking and rotating - then two of same lights after cloud went over and began to move"""
"885	""885	Stationary lights in the path of the ISS"""
"886	""886	Big Light in the West Sky over Leavenworth Washington"""
"887	""887	lights seen at night"""
"888	""888	a light over the mountain"""
"889	""889	Red light appears in night sky and disappears."""
"890	""890	Like a hot ember emitting sparks while leaving a long trail like a shooting star."""
"891	""891	Triangular shape with an array of lights and unusual amount of silent aircraft in the sky."""
"892	""892	Large&#44 very well lit sphere shaped object flying very low over my neighborhood then disappeared"""
"893	""893	flashing object with erratic motion"""
"894	""894	East Tennessee&#44 3 orb mass in the sky"""
"895	""895	Orange light hovering from east to west over town"""
"896	""896	Close viewing of disk-shaped ufo with colored lights"""
"897	""897	Hovered over Pawtucket&#44 RI and had red flashing lights at the bottom"""
"898	""898	Triangular shaped UFO with lights at corners hovering at cloud height over home"""
"899	""899	Looked like a light that appeared to be moving upwards."""
"900	""900	Day and Night - Saw object twice c.2009.  3-witnesses.  Very similar to that object in the Tulsa OK sighting c.1965."""
"901	""901	Orange Orb in West Virginia"""
"902	""902	saucer with red and blue lights over providence&#44 RI"""
"903	""903	a white light moving in a circle."""
"904	""904	Triangular object with 3 lights&#44 one in middle blinking."""
"905	""905	Flashing Blue Orb over southern Marion county FL."""
"906	""906	2 seperate observations. Fairfield&#44 CT"""
"907	""907	Bright white light&#44 shimmering green then red"""
"908	""908	White light (star) traveling very fast in sky."""
"909	""909	10/1/10    James Island Connector Vshaped aircraft hovering over the JI Connector at 8: 12 pm"""
"910	""910	Glowing orange barrel-shaped objects in sky over town of Middleton&#44 WI"""
"911	""911	blue&#44 red&#44 green&#44 and bright white light hovering over field near Thornburg Va food lion."""
"912	""912	5 glowing orange orbs/no sound/ rising in sky and heading south west then dissapearing within 5 min"""
"913	""913	Disk Shaped Object photographed near Waxahachie Texas"""
"914	""914	Soundless hovering airplane"""
"915	""915	2 cigar shaped white objects viewed in Shenandoah Valley&#44 VA"""
"916	""916	FAST RED LIGHT WITH SLOWER BUT LARGER WHITE LIGHTS FALLING"""
"917	""917	Triangle craft with bright light changes colors and moves like helicopter."""
"918	""918	Blue and red jelly bean shaped craft&#44 hovering over Arlington Airport&#44 Washington State."""
"919	""919	hazy yellow-orange light(s) that changed shape and moved fluidly"""
"920	""920	Star igniting accelerating and leaving a light beam behind."""
"921	""921	Fast flying glowing light."""
"922	""922	A bright object sighted above our house that moves back and forth slowly and hovers.  ((NUFORC Note:  Possible star?  PD))"""
"923	""923	Huge bright fireball descends over Staten Island."""
"924	""924	0:53 or 12:53 am EST&#44 Saturday October 1st 2011&#44 Thunder Bay&#44 ON&#44 T like figure&#44 4 seconds&#44 dim orange lights&#44 silent  500 Lights On Ob"""
"925	""925	Bright multicolored object with flashing red&#44 blue&#44 green and white lights&#44 stationary in sky.  ((NUFORC Note:  Twinkling star?  PD))"""
"926	""926	south texas 1 oct. v shaped silent object traveling south east dim white lights"""
"927	""927	Orange lights with blinking white lights swarming around."""
"928	""928	Jet and object flying side by side"""
"929	""929	Bright round light in sky moving slowly"""
"930	""930	Huge grey cylinder rotating going down to my house from high altitude with no noise"""
"931	""931	Huge green flashing light low to the ground in missouri"""
"932	""932	Triangle... very dim lights&#44 no noise&#44 around all outer edges&#44 moving slowly&#44 very low... went out of sight over UNCW campus"""
"933	""933	2 Glowing spheres over Cincinnati"""
"934	""934	Orange and Red light"""
"935	""935	Extremely bright twin lights in night sky - moved off in unison."""
"936	""936	I was driving south on the 5 Freeway this evening.  I was passing Canon Road in Carlsbad&#44 San Diego County&#44 California.  I saw 3 bright"""
"937	""937	Unusual fireball-like orb moving in the sky&#44 and suddenly disappears"""
"938	""938	Orange fireball crosses the sky in Kansas City."""
"939	""939	Orange ball of light hovers and then ascends and suddenly disappears"""
"940	""940	On a clear night while laying on a table witnessed a silent rectangle fully visible craft cross the sky aprrox.500&quot"
"941	""941	Red&#44 blue&#44 white lights seen hovering in the sky in the vicinity of the Anderson/Greenville area. ((NUFORC Note:  Possible star??  PD))"""
"942	""942	I see this almost every night when i go outside at the same time. it is this light that changes from hreen to blue to red.  ((Starr??))"""
"943	""943	On Saturday night&#44 October 1&#44 2011 we observed a level fly by of what looked like an aircraft on fire. It seemed low in the sky&#44 under"""
"944	""944	Ball of red/yellow light followed by a trail of fire falls to earth in or around Bluffton&#44 SC"""
"945	""945	I am familiar with several types of planes&#44  I worked at a NY airport for a number of years and I am a fan of military planes&#44 this sig"""
"946	""946	Driving around when me and my friend saw a bright BRIGHT white light from about 2/12 miles away. Started driving towards it it as it ju"""
"947	""947	Falling bright light"""
"948	""948	Flickering color changing lights in SE Phoenix sky.  ((NUFORC Note:  Probably a sighting of a &quot"
"949	""949	Dim lights"""
"950	""950	Metallic Stationary Object"""
"951	""951	5 to 8 orange light  formation in the sky."""
"952	""952	Groups of 2 Orange/yellow balls shot through the sky in a set path and disappeared over and over"""
"953	""953	Light&#44 Shape and near two bases"""
"954	""954	Orange fireball quickly ascending in sky in West suburbs of Chicago"""
"955	""955	Star looking lights with flashing red&#44 green&#44 and purple lights that just hover around &#33 NOT GOING ANYWHERE&#33  ((Star?))"""
"956	""956	Fireballs in Fontana&#44 CA."""
"957	""957	Odd lights in formation appering and disappering."""
"958	""958	Flying object coming out of field. Hovering for 5 mins. Then leaving."""
"959	""959	Bright red torch-like object seen ascending rapidly&#44 making a right angle turn&#44 and disappearing from view in Capitola&#44 CA"""
"960	""960	2 weird objects fly over our house and make no noise and about 2 miles away just appear to stop for about 45 min."""
"961	""961	Very bright it hoverd and then sped off silently and was pulsating in rythem did not varie."""
"962	""962	V shaped and 8 big and very brite lights&#44moving very slow"""
"963	""963	Red&#44 blue&#44 white and green high in sky"
"964	""964	Flashing ball that goes out and continues as a black dot at slower speed then a meteor."""
"965	""965	There was a metal looking star hovering several miles s/w of Bakersfield&#44 Ca. my friend&#44 girlfriend&#44 and i were driving to the park an"""
"966	""966	Shape with lights hovering then inching then speeding in a direction."""
"967	""967	Metallic object floating above Boulder."""
"968	""968	Bright round orange/red fireball."""
"969	""969	Bright Triangular Light Orb in the sky different flashing lights and appears closer each day."""
"970	""970	Driving across the Glenfied Bridge&#44 northbound&#44 saw an odd shape as i was looking southeast down the Ohio. It wasn&#39t a plane. It wa"""
"971	""971	I&#39m conflicted. I had another sighting&#44 and I was challenged by you of filing a false report.  ((NUFORC Note:  See comment below.  PD)"""
"972	""972	Two white dots crossing paths around Lincoln and Providence RI."""
"973	""973	Three long white crescent shaped moving lights moving in a half circle."""
"974	""974	Very bright white lights 4 all together moving from southeast to west flying low no noise."""
"975	""975	Yellow/Orangish Balls streaking across the sky&#44 no sound from them at all&#44 and no tail."""
"976	""976	Brilliant white light in SW Sky stationary over 7 minutes then vanishes.  Not an airplane&#33"""
"977	""977	Intensely bright light sphere high up in the sky over the Gulf of Mexico."""
"978	""978	3 very slow-moving sparking&#44 flaming meteor looking objects starting on 1 side of the horizon and ended in the same spot on the other."""
"979	""979	Large round bright white light moved away and upward for 1-1.5 min before completely disappearing."""
"980	""980	Two seperate objects far off&#44 with a white light that turned off an on every four or five minutes then disappeared."""
"981	""981	My girlfriend and I witnessed a bright orange triangular light in the sky."""
"982	""982	Orange Glowing Lights over East Long Island."""
"983	""983	Orange fireball seen hovering in London sky before vanishing."""
"984	""984	Strange Green/Purple and Orange Dancing Lights Above Farm Field."""
"985	""985	Saucer observed about 500 feet up moving into clear blue sky and flying square corners."""
"986	""986	Low UFO sliding out of a cloud into clear blue sky."""
"987	""987	Lights in the Nam"""
"988	""988	Large&#44 black&#44  &quot"
"989	""989	Glowing Green UFO seen by myself (mom) and my 4 children very low over our car on a Friday night in Alabama in 1973."""
"990	""990	fire ball and min min"""
"991	""991	Disc hoovers over train and seems to x-ray it."""
"992	""992	NW TN TRIANGLE."""
"993	""993	DURING A HUNTING TRIP IN THE MOUNTAINS&#44WE MADE CAMP AND LATE THAT NIGHT I SAW THE FOLLOWING. A BRIGHT LIGHT THAT CAME FROM THE SOUTHEAS"""
"994	""994	Iwitnessed one object moving east to west across Rt.539 4 mile north of Rt.72 near the Fire Tower. There were no cloud and the sky was"""
"995	""995	While fishing on the east pearl river which seperates la./ms. north of i10 near stennis we saw a white round light just above the trees"""
"996	""996	Round light which was observed going into space with moves and silence that we have never seen before."""
"997	""997	My sister and I observed a disk for about 5 minutes hovering approximately 120 feet away."""
"998	""998	Large cigar shaped craft&#44flying sideways&#44over bay&#44toward&#39s our car."""
"999	""999	I had just picked up my Daugther (2yrs old) from my Mother-in-Laws and was on my way home it was a clear cold crisp day with the leaves"""
